name,category,latitude,longitude,description
Gunnersbury Park,Parks,51.4926,-0.2751,"Free entry. Rated 4.5/5. Gunnersbury Park, London W3 8LQ"
Thames Path (Southbank stretch),Walks,51.5055,-0.116,"Free entry. Rated 4.7/5. South Bank, London SE1"
Regent's Canal Towpath,Walks,51.5362,-0.0998,"Free entry. Rated 4.6/5. Regent's Canal, London N1"
Capital Ring - Section 1,Walks,51.49,0.062,"Free entry. Rated 4.5/5. Woolwich to Falconwood, London"
Jubilee Greenway,Walks,51.5033,-0.1195,Free entry. Rated 4.5/5. Central London loop
Parkland Walk,Walks,51.573,-0.14,"Free entry. Rated 4.7/5. Highgate to Finsbury Park, London"
Hampstead Heath to Highgate Walk,Walks,51.5674,-0.1503,"Free entry. Rated 4.7/5. Hampstead, London NW3"
South Bank Riverside Walk,Walks,51.5061,-0.1147,"Free entry. Rated 4.7/5. South Bank, London SE1"
Grand Union Canal Walk (Little Venice),Walks,51.522,-0.183,"Free entry. Rated 4.6/5. Little Venice, London W2"
Line of Kings to Tower Walk,Walks,51.5074,-0.122,Free entry. Rated 4.5/5. Whitehall to Tower of London
Wimbledon Common Walk,Walks,51.439,-0.236,"Free entry. Rated 4.6/5. Wimbledon, London SW19"
River Lea Towpath Walk,Walks,51.556,-0.035,"Free entry. Rated 4.5/5. Hackney to Tottenham, London"
Greenwich to Woolwich Riverside Walk,Walks,51.4826,0.0077,"Free entry. Rated 4.6/5. Greenwich, London SE10"
Camden to Regent's Park Canal Walk,Walks,51.5416,-0.1466,"Free entry. Rated 4.6/5. Camden Lock, London NW1"
Epping Forest Walk,Walks,51.632,0.019,"Free entry. Rated 4.7/5. Chingford, London E4"
Hackney Marshes Walk,Walks,51.548,-0.033,"Free entry. Rated 4.5/5. Homerton Rd, London E9"
British Museum,Museums,51.5194,-0.127,"Free entry, paid special exhibitions. Rated 4.8/5. Great Russell St, London WC1B 3DG"
Natural History Museum,Museums,51.4967,-0.1764,"Free entry, paid special exhibitions. Rated 4.8/5. Cromwell Rd, London SW7 5BD"
Science Museum,Museums,51.4978,-0.1745,"Free entry, paid special exhibitions. Rated 4.7/5. Exhibition Rd, London SW7 2DD"
Victoria and Albert Museum,Museums,51.4966,-0.1722,"Free entry, paid special exhibitions. Rated 4.8/5. Cromwell Rd, London SW7 2RL"
Tate Modern,Museums,51.5076,-0.0994,"Free entry, paid special exhibitions. Rated 4.7/5. Bankside, London SE1 9TG"
Tate Britain,Museums,51.4909,-0.1276,"Free entry, paid special exhibitions. Rated 4.6/5. Millbank, London SW1P 4RG"
National Gallery,Museums,51.5089,-0.1283,"Free entry, paid special exhibitions. Rated 4.8/5. Trafalgar Square, London WC2N 5DN"
National Portrait Gallery,Museums,51.5094,-0.1281,"Free entry, paid special exhibitions. Rated 4.6/5. St Martin's Pl, London WC2H 0HE"
Imperial War Museum London,Museums,51.4959,-0.1091,"Free entry, paid special exhibitions. Rated 4.7/5. Lambeth Rd, London SE1 6HZ"
Museum of London Docklands,Museums,51.5078,-0.0198,"Free entry, paid special exhibitions. Rated 4.5/5. No. 1 Warehouse, West India Quay, London E14 4AL"
Design Museum,Museums,51.4996,-0.2018,"Free entry, paid special exhibitions. Rated 4.5/5. 224-238 Kensington High St, London W8 6AG"
Sir John Soane's Museum,Museums,51.517,-0.1153,"Free entry. Rated 4.8/5. 13 Lincoln's Inn Fields, London WC2A 3BP"
Horniman Museum,Museums,51.44,-0.0654,"Free entry, paid special exhibitions. Rated 4.7/5. 100 London Rd, Forest Hill, London SE23 3PQ"
Wallace Collection,Museums,51.5171,-0.1519,"Free entry. Rated 4.7/5. Hertford House, Manchester Square, London W1U 3BN"
Churchill War Rooms,Museums,51.5024,-0.1301,"Paid entry. Rated 4.7/5. Clive Steps, King Charles St, London SW1A 2AQ"
Saatchi Gallery,Museums,51.4899,-0.1592,"Free entry, paid special exhibitions. Rated 4.5/5. Duke of York's HQ, King's Rd, London SW3 4RY"
The Postal Museum,Museums,51.5271,-0.1163,"Paid entry. Rated 4.5/5. 15-20 Phoenix Pl, London WC1X 0DA"
Florence Nightingale Museum,Museums,51.499,-0.1183,"Paid entry. Rated 4.4/5. 2 Lambeth Palace Rd, London SE1 7EW"
Museum of the Home,Museums,51.5326,-0.0755,"Free entry, paid special exhibitions. Rated 4.5/5. 136 Kingsland Rd, London E2 8EA"
Fashion and Textile Museum,Museums,51.4986,-0.0836,"Paid entry. Rated 4.3/5. 83 Bermondsey St, London SE1 3XF"
Charles Dickens Museum,Museums,51.524,-0.1173,"Paid entry. Rated 4.5/5. 48-49 Doughty St, London WC1N 2LX"
Freud Museum London,Museums,51.5473,-0.1745,"Paid entry. Rated 4.6/5. 20 Maresfield Gardens, London NW3 5SX"
Geffrye Museum (Museum of the Home),Museums,51.5326,-0.0755,"Free entry. Rated 4.4/5. 136 Kingsland Rd, London E2 8EA"
The Cinema Museum,Museums,51.493,-0.109,"Paid entry. Rated 4.6/5. 2 Dugard Way, London SE11 4TH"
Petrie Museum of Egyptian Archaeology,Museums,51.524,-0.1338,"Free entry. Rated 4.6/5. Malet Pl, London WC1E 6BT"
Grant Museum of Zoology,Museums,51.5245,-0.1345,"Free entry. Rated 4.6/5. Rockefeller Building, University St, London WC1E 6DE"
Foundling Museum,Museums,51.5255,-0.1226,"Paid entry. Rated 4.5/5. 40 Brunswick Square, London WC1N 1AZ"
Tower of London,Landmarks,51.5081,-0.0759,Paid entry. Rated 4.7/5. London EC3N 4AB
Buckingham Palace,Landmarks,51.5014,-0.1419,Paid entry. Rated 4.6/5. London SW1A 1AA
Big Ben / Elizabeth Tower,Landmarks,51.5007,-0.1246,"Free entry. Rated 4.7/5. Westminster, London SW1A 0AA"
Houses of Parliament,Landmarks,51.4995,-0.1248,"Paid entry. Rated 4.7/5. Westminster, London SW1A 0AA"
Westminster Abbey,Landmarks,51.4993,-0.1273,"Paid entry. Rated 4.7/5. 20 Deans Yd, London SW1P 3PA"
St Paul's Cathedral,Landmarks,51.5138,-0.0984,"Paid entry. Rated 4.7/5. St Paul's Churchyard, London EC4M 8AD"
Tower Bridge,Landmarks,51.5055,-0.0754,"Paid entry. Rated 4.7/5. Tower Bridge Rd, London SE1 2UP"
The Shard,Landmarks,51.5045,-0.0865,"Paid entry. Rated 4.6/5. 32 London Bridge St, London SE1 9SG"
London Eye,Landmarks,51.5033,-0.1195,"Paid entry. Rated 4.5/5. Riverside Building, County Hall, London SE1 7PB"
Trafalgar Square,Landmarks,51.508,-0.1281,Free entry. Rated 4.7/5. London WC2N 5DN
Piccadilly Circus,Landmarks,51.5101,-0.1342,Free entry. Rated 4.5/5. London W1J 9HS
Somerset House,Landmarks,51.5109,-0.1176,"Free entry, paid special exhibitions. Rated 4.6/5. Strand, London WC2R 1LA"
Kensington Palace,Landmarks,51.5051,-0.1877,"Paid entry. Rated 4.6/5. Kensington Gardens, London W8 4PX"
The Monument,Landmarks,51.5108,-0.0857,"Paid entry. Rated 4.4/5. Monument St, London EC3R 8AH"
Lambeth Palace,Landmarks,51.4958,-0.1214,"Paid entry. Rated 4.5/5. Lambeth Palace Rd, London SE1 7JU"
Hampton Court Palace,Landmarks,51.4034,-0.3391,"Paid entry. Rated 4.7/5. Molesey, East Molesey KT8 9AU"
Marble Arch,Landmarks,51.5131,-0.1585,Free entry. Rated 4.3/5. London W1H 7EJ
Cutty Sark,Landmarks,51.4826,-0.0097,"Paid entry. Rated 4.5/5. King William Walk, Greenwich, London SE10 9HT"
Royal Observatory Greenwich,Landmarks,51.4769,-0.0005,"Paid entry. Rated 4.6/5. Blackheath Ave, Greenwich, London SE10 8XJ"
Old Royal Naval College,Landmarks,51.4826,-0.0088,"Free entry, paid special exhibitions. Rated 4.7/5. King William Walk, Greenwich, London SE10 9NN"
Millennium Bridge,Landmarks,51.5095,-0.0985,"Free entry. Rated 4.6/5. Bankside, London SE1 9JE"
Leadenhall Market,Landmarks,51.5128,-0.0836,"Free entry. Rated 4.6/5. Gracechurch St, London EC3V 1LT"
St Pancras Renaissance Hotel / Station,Landmarks,51.532,-0.1263,"Free entry. Rated 4.6/5. Euston Rd, London NW1 2AR"
Notting Hill (Portobello area),Landmarks,51.5152,-0.1966,"Free entry. Rated 4.5/5. Notting Hill, London W11"
Camden Lock,Landmarks,51.5416,-0.1466,"Free entry. Rated 4.4/5. Camden, London NW1 8AF"
Sky Garden,Vantage Points,51.5113,-0.0834,"Free entry. Rated 4.4/5. 20 Fenchurch St, London EC3M 8AF"
The View from The Shard,Vantage Points,51.5045,-0.0865,"Paid entry. Rated 4.5/5. 32 London Bridge St, London SE1 9SG"
Primrose Hill,Vantage Points,51.539,-0.1608,"Free entry. Rated 4.7/5. Primrose Hill, London NW1 4NR"
Parliament Hill (Hampstead Heath),Vantage Points,51.5583,-0.1608,"Free entry. Rated 4.7/5. Hampstead Heath, London NW5 1QR"
Greenwich Park Viewpoint,Vantage Points,51.4772,-0.0009,"Free entry. Rated 4.7/5. Blackheath Ave, London SE10 8XJ"
One New Change Rooftop,Vantage Points,51.5139,-0.0982,"Free entry. Rated 4.3/5. 1 New Change, London EC4M 9AF"
Alexandra Palace Viewpoint,Vantage Points,51.5941,-0.1279,"Free entry. Rated 4.7/5. Alexandra Palace Way, London N22 7AY"
Waterstones Piccadilly Rooftop (5th View),Vantage Points,51.5088,-0.1367,"Free entry. Rated 4.3/5. 203-206 Piccadilly, London W1J 9HD"
Horniman Museum Gardens Viewpoint,Vantage Points,51.4402,-0.0654,"Free entry. Rated 4.6/5. 100 London Rd, London SE23 3PQ"
Tower Bridge Glass Floor Walkway,Vantage Points,51.5055,-0.0754,"Paid entry. Rated 4.6/5. Tower Bridge Rd, London SE1 2UP"
The Garden at 120,Vantage Points,51.5119,-0.0822,"Free entry. Rated 4.4/5. 120 Fenchurch St, London EC3M 5BA"
"Point Hill, Blackheath",Vantage Points,51.472,-0.01,"Free entry. Rated 4.5/5. Point Hill, London SE10"
Borough Market,Markets,51.5055,-0.091,"Free entry. Rated 4.7/5. 8 Southwark St, London SE1 1TL"
Camden Market,Markets,51.5416,-0.1466,"Free entry. Rated 4.4/5. Camden Lock Pl, London NW1 8AF"
Portobello Road Market,Markets,51.5165,-0.2054,"Free entry. Rated 4.5/5. Portobello Rd, London W11 1LA"
Old Spitalfields Market,Markets,51.5194,-0.0761,"Free entry. Rated 4.5/5. 16 Horner Square, London E1 6EW"
Greenwich Market,Markets,51.4816,-0.01,"Free entry. Rated 4.5/5. 5b Greenwich Market, London SE10 9HZ"
Brick Lane Market,Markets,51.5225,-0.0714,"Free entry. Rated 4.4/5. Brick Lane, London E1 6QL"
Columbia Road Flower Market,Markets,51.5292,-0.0722,"Free entry. Rated 4.7/5. Columbia Rd, London E2 7RG"
Broadway Market,Markets,51.5364,-0.0592,"Free entry. Rated 4.5/5. Broadway Market, London E8 4QJ"
Maltby Street Market,Markets,51.4977,-0.0777,"Free entry. Rated 4.6/5. Maltby St, London SE1 3PA"
Alfie's Antique Market,Markets,51.5262,-0.1727,"Free entry. Rated 4.5/5. 13-25 Church St, London NW8 8DT"
Leather Lane Market,Markets,51.5199,-0.1088,"Free entry. Rated 4.2/5. Leather Ln, London EC1N 7RJ"
Whitecross Street Market,Markets,51.5231,-0.0955,"Free entry. Rated 4.3/5. Whitecross St, London EC1Y 8JL"
Berwick Street Market,Markets,51.5136,-0.1364,"Free entry. Rated 4.3/5. Berwick St, London W1F 0PH"
Petticoat Lane Market,Markets,51.5164,-0.0754,"Free entry. Rated 4.1/5. Middlesex St, London E1 7EX"
Smithfield Market,Markets,51.5186,-0.1017,"Free entry. Rated 4.3/5. Charterhouse St, London EC1A 9PS"
Royal Opera House,Theatre/Cinemas,51.5129,-0.1223,"Ticketed venue. Rated 4.8/5. Bow St, London WC2E 9DD"
National Theatre,Theatre/Cinemas,51.5065,-0.1141,"Ticketed venue. Rated 4.7/5. South Bank, London SE1 9PX"
Shakespeare's Globe,Theatre/Cinemas,51.5081,-0.0972,"Ticketed venue. Rated 4.7/5. 21 New Globe Walk, London SE1 9DT"
Theatre Royal Drury Lane,Theatre/Cinemas,51.5127,-0.1198,"Ticketed venue. Rated 4.6/5. Catherine St, London WC2B 5JF"
Old Vic,Theatre/Cinemas,51.5015,-0.1097,"Ticketed venue. Rated 4.6/5. The Cut, London SE1 8NB"
Wyndham's Theatre,Theatre/Cinemas,51.5117,-0.1284,"Ticketed venue. Rated 4.6/5. Charing Cross Rd, London WC2H 0DA"
Apollo Victoria Theatre,Theatre/Cinemas,51.4946,-0.1442,"Ticketed venue. Rated 4.6/5. 17 Wilton Rd, London SW1V 1LG"
Palladium Theatre,Theatre/Cinemas,51.5142,-0.1408,"Ticketed venue. Rated 4.7/5. 8 Argyll St, London W1F 7TF"
Barbican Theatre,Theatre/Cinemas,51.5203,-0.0937,"Ticketed venue. Rated 4.6/5. Silk St, London EC2Y 8DS"
Donmar Warehouse,Theatre/Cinemas,51.5142,-0.1268,"Ticketed venue. Rated 4.7/5. 41 Earlham St, London WC2H 9LX"
Sadler's Wells Theatre,Theatre/Cinemas,51.5294,-0.1067,"Ticketed venue. Rated 4.6/5. Rosebery Ave, London EC1R 4TN"
Hammersmith Apollo (Eventim Apollo),Theatre/Cinemas,51.493,-0.2237,"Ticketed venue. Rated 4.6/5. 45 Queen Caroline St, London W6 9QH"
Young Vic,Theatre/Cinemas,51.5019,-0.1085,"Ticketed venue. Rated 4.6/5. 66 The Cut, London SE1 8LZ"
Hackney Empire,Theatre/Cinemas,51.546,-0.0559,"Ticketed venue. Rated 4.6/5. 291 Mare St, London E8 1EJ"
Adelphi Theatre,Theatre/Cinemas,51.5104,-0.1213,"Ticketed venue. Rated 4.6/5. Strand, London WC2R 0NS"
Lyceum Theatre,Theatre/Cinemas,51.5117,-0.1197,"Ticketed venue. Rated 4.6/5. 21 Wellington St, London WC2E 7RQ"
Regent's Park Open Air Theatre,Theatre/Cinemas,51.53,-0.1554,"Ticketed venue. Rated 4.7/5. Inner Cir, London NW1 4NU"
BFI Southbank,Theatre/Cinemas,51.5065,-0.116,"Ticketed venue. Rated 4.6/5. Belvedere Rd, London SE1 8XT"
Curzon Soho,Theatre/Cinemas,51.5124,-0.1317,"Ticketed venue. Rated 4.6/5. 99 Shaftesbury Ave, London W1D 5DY"
Electric Cinema Notting Hill,Theatre/Cinemas,51.5157,-0.2049,"Ticketed venue. Rated 4.5/5. 191 Portobello Rd, London W11 2ED"
Prince Charles Cinema,Theatre/Cinemas,51.5117,-0.1302,"Ticketed venue. Rated 4.8/5. 7 Leicester Pl, London WC2H 7BY"
Genesis Cinema,Theatre/Cinemas,51.5194,-0.047,"Ticketed venue. Rated 4.5/5. 93-95 Mile End Rd, London E1 4UJ"
Rio Cinema,Theatre/Cinemas,51.5471,-0.0755,"Ticketed venue. Rated 4.6/5. 107 Kingsland High St, London E8 2PB"
Everyman Baker Street,Theatre/Cinemas,51.5203,-0.1567,"Ticketed venue. Rated 4.6/5. 96-98 Baker St, London W1U 6TJ"
Picturehouse Central,Theatre/Cinemas,51.5113,-0.133,"Ticketed venue. Rated 4.5/5. Corner of, Shaftesbury Ave, London W1D 7DH"
The Castle Cinema,Theatre/Cinemas,51.5453,-0.0392,"Ticketed venue. Rated 4.7/5. 64-66 Brooksby's Walk, London E9 6DA"
ODEON Luxe Leicester Square,Theatre/Cinemas,51.5106,-0.1305,"Ticketed venue. Rated 4.5/5. 24-26 Leicester Square, London WC2H 7LQ"
Peckhamplex,Theatre/Cinemas,51.4713,-0.0684,"Ticketed venue. Rated 4.6/5. 95A Rye Ln, London SE15 4ST"
Regent Street Cinema,Theatre/Cinemas,51.5177,-0.142,"Ticketed venue. Rated 4.6/5. 307 Regent St, London W1B 2HW"
The Churchill Arms,Pubs,51.5057,-0.1972,"££ · Beer And Food. Rated 4.5/5. 119 Kensington Church St, London W8 7LN"
The Mayflower,Pubs,51.5015,-0.0524,"££ · Beer And Food. Rated 4.5/5. 117 Rotherhithe St, London SE16 4NF"
The Lamb & Flag,Pubs,51.5122,-0.1257,"££ · Beer And Food. Rated 4.5/5. 33 Rose St, London WC2E 9EB"
Ye Olde Cheshire Cheese,Pubs,51.5142,-0.1092,"££ · Beer And Food. Rated 4.4/5. 145 Fleet St, London EC4A 2BU"
The Spaniards Inn,Pubs,51.5717,-0.1729,"££ · Beer And Food. Rated 4.5/5. Spaniards Rd, London NW3 7JJ"
The Prospect of Whitby,Pubs,51.5057,-0.0546,"££ · Beer And Food. Rated 4.4/5. 57 Wapping Wall, London E1W 3SH"
The Grapes,Pubs,51.51,-0.0378,"££ · Beer And Food. Rated 4.6/5. 76 Narrow St, London E14 8BP"
The Blackfriar,Pubs,51.5122,-0.1039,"££ · Beer And Food. Rated 4.5/5. 174 Queen Victoria St, London EC4V 4EG"
The Anchor Bankside,Pubs,51.5074,-0.092,"££ · Beer And Food. Rated 4.3/5. 34 Park St, London SE1 9EF"
The Sherlock Holmes,Pubs,51.5074,-0.1257,"££ · Beer And Food. Rated 4.3/5. 10-11 Northumberland St, London WC2N 5DB"
The Star Tavern,Pubs,51.4988,-0.1553,"£££ · Beer And Food. Rated 4.5/5. 6 Belgrave Mews West, London SW1X 8HT"
The Dove,Pubs,51.4903,-0.2368,"££ · Beer And Food. Rated 4.5/5. 19 Upper Mall, London W6 9TA"
The Old Bank of England,Pubs,51.5143,-0.1096,"££ · Beer And Food. Rated 4.4/5. 194 Fleet St, London EC4A 2LT"
The French House,Pubs,51.5133,-0.1322,"££ · Beer And Food. Rated 4.4/5. 49 Dean St, London W1D 5BG"
The Windsor Castle,Pubs,51.5063,-0.199,"££ · Beer And Food. Rated 4.5/5. 114 Campden Hill Rd, London W8 7AR"
The Eagle,Pubs,51.5251,-0.109,"££ · Modern European Gastropub. Rated 4.4/5. 159 Farringdon Rd, London EC1R 3AL"
The Harp,Pubs,51.5099,-0.1265,"££ · Beer And Food. Rated 4.6/5. 47 Chandos Pl, London WC2N 4HS"
Ye Olde Mitre,Pubs,51.5188,-0.1073,"££ · Beer And Food. Rated 4.6/5. 1 Ely Ct, London EC1N 6SJ"
The Jerusalem Tavern,Pubs,51.5219,-0.103,"££ · Beer And Food. Rated 4.5/5. 55 Britton St, London EC1M 5UQ"
The Cross Keys,Pubs,51.515,-0.1246,"££ · Beer And Food. Rated 4.4/5. 1 Endell St, London WC2H 9BA"
The Golden Heart,Pubs,51.5194,-0.0742,"££ · Beer And Food. Rated 4.3/5. 110 Commercial St, London E1 6LZ"
The Ten Bells,Pubs,51.5188,-0.0745,"££ · Beer And Food. Rated 4.3/5. 84 Commercial St, London E1 6LY"
The Flask,Pubs,51.5573,-0.1786,"££ · Beer And Food. Rated 4.4/5. 14 Flask Walk, London NW3 1HE"
The Holly Bush,Pubs,51.5606,-0.1795,"££ · Beer And Food. Rated 4.6/5. 22 Holly Mount, London NW3 6SG"
The Guinea Grill,Pubs,51.5108,-0.147,"£££ · Beer And Food. Rated 4.5/5. 30 Bruton Pl, London W1J 6NL"
The White Hart,Pubs,51.5153,-0.1235,"££ · Beer And Food. Rated 4.3/5. 191 Drury Ln, London WC2B 5QD"
The American Bar at The Savoy,Bars,51.5101,-0.1198,"££££ · Cocktails. Rated 4.6/5. Strand, London WC2R 0EZ"
Connaught Bar,Bars,51.5099,-0.1483,"££££ · Cocktails. Rated 4.8/5. Carlos Pl, London W1K 2AL"
Swift Soho,Bars,51.5136,-0.1318,"£££ · Cocktails. Rated 4.6/5. 12 Old Compton St, London W1D 4TQ"
Nightjar,Bars,51.5279,-0.0888,"£££ · Cocktails. Rated 4.6/5. 129 City Rd, London EC1V 1JB"
The Ritz Bar,Bars,51.5069,-0.1425,"££££ · Cocktails. Rated 4.6/5. 150 Piccadilly, London W1J 9BR"
Sky Pod Bar (Sky Garden),Bars,51.5113,-0.0834,"£££ · Cocktails. Rated 4.3/5. 20 Fenchurch St, London EC3M 8AF"
Bar Termini,Bars,51.5136,-0.1322,"£££ · Cocktails. Rated 4.6/5. 7 Old Compton St, London W1D 5JE"
The Blues Kitchen Camden,Bars,51.539,-0.1435,"££ · Cocktails. Rated 4.4/5. 111-113 Camden High St, London NW1 7JN"
Discount Suit Company,Bars,51.5163,-0.0756,"£££ · Cocktails. Rated 4.5/5. 29a Wentworth St, London E1 7TB"
The Gibson,Bars,51.5254,-0.0919,"£££ · Cocktails. Rated 4.5/5. 44 Old St, London EC1V 9AJ"
Oriole,Bars,51.5185,-0.0862,"£££ · Cocktails. Rated 4.6/5. Blomfield St, London EC2M 7AY"
Mr Fogg's Residence,Bars,51.5107,-0.1454,"£££ · Cocktails. Rated 4.5/5. 15 Bruton Ln, London W1J 6JD"
Callooh Callay,Bars,51.5259,-0.0797,"£££ · Cocktails. Rated 4.5/5. 65 Rivington St, London EC2A 3AY"
Lyaness,Bars,51.5065,-0.1101,"££££ · Cocktails. Rated 4.6/5. South Bank, Sea Containers, London SE1 9PD"
The Cocktail Trading Co.,Bars,51.5128,-0.124,"£££ · Cocktails. Rated 4.6/5. 68 Long Acre, London WC2E 9JD"
Scarfes Bar (Rosewood London),Bars,51.517,-0.1176,"£££ · Cocktails. Rated 4.6/5. 252 High Holborn, London WC1V 7EN"
Seed Library,Bars,51.5133,-0.098,"£££ · Cocktails. Rated 4.5/5. 1 Godliman St, London EC4V 5BD"
Dishoom Covent Garden,Restaurants,51.5117,-0.1272,"££ · Indian. Rated 4.6/5. 12 Upper St Martin's Ln, London WC2H 9FB"
Dishoom Shoreditch,Restaurants,51.5254,-0.0783,"££ · Indian. Rated 4.6/5. 7 Boundary St, London E2 7JE"
Padella,Restaurants,51.5052,-0.0907,"££ · Italian. Rated 4.6/5. 6 Southwark St, London SE1 1TQ"
Franco Manca Brixton,Restaurants,51.4626,-0.1145,"£ · Pizza. Rated 4.5/5. 4 Market Row, London SW9 8LD"
The Palomar,Restaurants,51.5117,-0.1349,"£££ · Middle Eastern. Rated 4.6/5. 34 Rupert St, London W1D 6DN"
Hoppers Soho,Restaurants,51.514,-0.1323,"££ · Sri Lankan. Rated 4.6/5. 49 Frith St, London W1D 4SG"
Barrafina Soho,Restaurants,51.5133,-0.1319,"£££ · Spanish Tapas. Rated 4.6/5. 26-27 Dean St, London W1D 3LL"
Gymkhana,Restaurants,51.5089,-0.1436,"££££ · Indian. Rated 4.7/5. 42 Albemarle St, London W1S 4JH"
St. JOHN,Restaurants,51.5203,-0.1032,"£££ · British. Rated 4.5/5. 26 St John St, London EC1M 4AY"
Sketch (The Gallery),Restaurants,51.5127,-0.1417,"££££ · French. Rated 4.5/5. 9 Conduit St, London W1S 2XG"
Duck & Waffle,Restaurants,51.5175,-0.0818,"£££ · British. Rated 4.5/5. 110 Bishopsgate, London EC2N 4AY"
The Ledbury,Restaurants,51.5164,-0.2016,"££££ · French. Rated 4.7/5. 127 Ledbury Rd, London W11 2AQ"
Bao Soho,Restaurants,51.5136,-0.1367,"££ · Taiwanese. Rated 4.5/5. 53 Lexington St, London W1F 9AS"
Flat Iron Covent Garden,Restaurants,51.5163,-0.1288,"££ · Steak. Rated 4.5/5. 9 Denmark St, London WC2H 8LS"
Kiln,Restaurants,51.5117,-0.1359,"££ · Thai. Rated 4.6/5. 58 Brewer St, London W1F 9TL"
Bright,Restaurants,51.535,-0.0568,"£££ · British. Rated 4.6/5. 1 Westgate St, London E8 3RL"
Lyle's,Restaurants,51.5245,-0.0777,"£££ · British. Rated 4.6/5. Tea Building, 56 Shoreditch High St, London E1 6JJ"
Brat,Restaurants,51.5245,-0.0778,"£££ · Spanish Basque. Rated 4.6/5. 4 Redchurch St, London E2 7DJ"
The River Café,Restaurants,51.4879,-0.2237,"££££ · Italian. Rated 4.6/5. Thames Wharf, Rainville Rd, London W6 9HA"
Core by Clare Smyth,Restaurants,51.5155,-0.202,"££££ · British. Rated 4.8/5. 92 Kensington Park Rd, London W11 2PN"
Sabor,Restaurants,51.5117,-0.1408,"£££ · Spanish. Rated 4.6/5. 35-37 Heddon St, London W1B 4BR"
Bancone Covent Garden,Restaurants,51.509,-0.1263,"££ · Italian Pasta. Rated 4.6/5. 39 William IV St, London WC2N 4DD"
Berenjak,Restaurants,51.5133,-0.1319,"££ · Persian. Rated 4.6/5. 27 Romilly St, London W1D 5AL"
Cocotte Notting Hill,Restaurants,51.5157,-0.193,"£££ · French Roast Chicken. Rated 4.5/5. 95 Westbourne Grove, London W2 4UW"
Casa Tua,Restaurants,51.4599,-0.1655,"££ · Italian. Rated 4.5/5. 44 Northcote Rd, London SW11 1PA"
Rules,Restaurants,51.5111,-0.1229,"££££ · British Game. Rated 4.6/5. 35 Maiden Ln, London WC2E 7LB"
The Wolseley,Restaurants,51.5074,-0.1414,"£££ · European Brasserie. Rated 4.5/5. 160 Piccadilly, London W1J 9EB"
J Sheekey,Restaurants,51.5111,-0.1281,"££££ · Seafood. Rated 4.6/5. 28-32 St Martin's Ct, London WC2N 4AL"
Sweetings,Restaurants,51.5127,-0.0942,"£££ · Seafood. Rated 4.5/5. 39 Queen Victoria St, London EC4N 4SF"
Hakkasan Mayfair,Restaurants,51.5106,-0.1454,"££££ · Chinese. Rated 4.5/5. 17 Bruton St, London W1J 6QB"
Yauatcha Soho,Restaurants,51.5134,-0.1362,"£££ · Chinese Dim Sum. Rated 4.5/5. 15-17 Broadwick St, London W1F 0DL"
